depth (cm),y (cm),Camera-Left filename,Camera-Right filename
20,-15,depth20cm_y-15cm-left.png,depth20cm_y-15cm-right.png
20,-10,depth20cm_y-10cm-left.png,depth20cm_y-10cm-right.png
20,-5,depth20cm_y-5cm-left.png,depth20cm_y-5cm-right.png
20,0,depth20cm_y0cm-left.png,depth20cm_y0cm-right.png
20,5,depth20cm_y5cm-left.png,depth20cm_y5cm-right.png
20,10,depth20cm_y10cm-left.png,depth20cm_y10cm-right.png
20,15,depth20cm_y15cm-left.png,depth20cm_y15cm-right.png
25,-20,depth25cm_y-20cm-left.png,depth25cm_y-20cm-right.png
25,-15,depth25cm_y-15cm-left.png,depth25cm_y-15cm-right.png
25,-10,depth25cm_y-10cm-left.png,depth25cm_y-10cm-right.png
25,-5,depth25cm_y-5cm-left.png,depth25cm_y-5cm-right.png
25,0,depth25cm_y0cm-left.png,depth25cm_y0cm-right.png
25,5,depth25cm_y5cm-left.png,depth25cm_y5cm-right.png
25,10,depth25cm_y10cm-left.png,depth25cm_y10cm-right.png
25,15,depth25cm_y15cm-left.png,depth25cm_y15cm-right.png
25,20,depth25cm_y20cm-left.png,depth25cm_y20cm-right.png
30,-25,depth30cm_y-25cm-left.png,depth30cm_y-25cm-right.png
30,-20,depth30cm_y-20cm-left.png,depth30cm_y-20cm-right.png
30,-15,depth30cm_y-15cm-left.png,depth30cm_y-15cm-right.png
30,-10,depth30cm_y-10cm-left.png,depth30cm_y-10cm-right.png
30,-5,depth30cm_y-5cm-left.png,depth30cm_y-5cm-right.png
30,0,depth30cm_y0cm-left.png,depth30cm_y0cm-right.png
30,5,depth30cm_y5cm-left.png,depth30cm_y5cm-right.png
30,10,depth30cm_y10cm-left.png,depth30cm_y10cm-right.png
30,15,depth30cm_y15cm-left.png,depth30cm_y15cm-right.png
30,20,depth30cm_y20cm-left.png,depth30cm_y20cm-right.png
30,25,depth30cm_y25cm-left.png,depth30cm_y25cm-right.png
35,-30,depth35cm_y-30cm-left.png,depth35cm_y-30cm-right.png
35,-25,depth35cm_y-25cm-left.png,depth35cm_y-25cm-right.png
35,-20,depth35cm_y-20cm-left.png,depth35cm_y-20cm-right.png
35,-15,depth35cm_y-15cm-left.png,depth35cm_y-15cm-right.png
35,-10,depth35cm_y-10cm-left.png,depth35cm_y-10cm-right.png
35,-5,depth35cm_y-5cm-left.png,depth35cm_y-5cm-right.png
35,0,depth35cm_y0cm-left.png,depth35cm_y0cm-right.png
35,5,depth35cm_y5cm-left.png,depth35cm_y5cm-right.png
35,10,depth35cm_y10cm-left.png,depth35cm_y10cm-right.png
35,15,depth35cm_y15cm-left.png,depth35cm_y15cm-right.png
35,20,depth35cm_y20cm-left.png,depth35cm_y20cm-right.png
35,25,depth35cm_y25cm-left.png,depth35cm_y25cm-right.png
35,30,depth35cm_y30cm-left.png,depth35cm_y30cm-right.png
40,-35,depth40cm_y-35cm-left.png,depth40cm_y-35cm-right.png
40,-30,depth40cm_y-30cm-left.png,depth40cm_y-30cm-right.png
40,-25,depth40cm_y-25cm-left.png,depth40cm_y-25cm-right.png
